old	new	Support	PMID
midas_g_117	midas2_90	Genus support (>94.5% id) for 41/51 MiDAS2 seqs in MiDAS3 and 24/24 MiDAS3 seq in MiDAS2	28365734
midas_g_137	midas2_030B12	Genus support (>94.5% id) for 19/19 MiDAS2 seqs in MiDAS3 and 20/23 MiDAS3 seq in MiDAS2	28365734
midas_g_5221	midas2_1-2B-06	Genus support (>94.5% id) for 3/4 MiDAS2 seqs in MiDAS3 and 4/4 MiDAS3 seq in MiDAS2	28365734
midas_g_33	midas2_188up	Genus support (>94.5% id) for 70/71 MiDAS2 seqs in MiDAS3 and 46/55 MiDAS3 seq in MiDAS2	28365734
midas_g_100	midas2_35-7A	Genus support (>94.5% id) for 107/108 MiDAS2 seqs in MiDAS3 and 31/31 MiDAS3 seq in MiDAS2	28365734
midas_g_1356	midas2_A21b	Genus support (>94.5% id) for 20/27 MiDAS2 seqs in MiDAS3 and 7/12 MiDAS3 seq in MiDAS2	28365734
midas_g_467	midas2_B1-K2-141	Genus support (>94.5% id) for 9/13 MiDAS2 seqs in MiDAS3 and 16/16 MiDAS3 seq in MiDAS2	28365734
midas_g_1181	midas2_Btb7_22	Genus support (>94.5% id) for 12/12 MiDAS2 seqs in MiDAS3 and 22/22 MiDAS3 seq in MiDAS2	28365734
midas_g_406	midas2_C1711WL	Genus support (>94.5% id) for 20/24 MiDAS2 seqs in MiDAS3 and 6/6 MiDAS3 seq in MiDAS2	28365734
midas_g_1	Ca_Amarolinea	Genus support (>94.5% id) for 1/2 MiDAS2 seqs in MiDAS3 and 646/646 MiDAS3 seq in MiDAS2	28365734
midas_g_2721	Ca_Amarolinea	Genus support (>94.5% id) for 1/2 MiDAS2 seqs in MiDAS3 and 1/1 MiDAS3 seq in MiDAS2	28365734
midas_g_108	Ca_Defluviifilum	Genus support (>94.5% id) for 6/41 MiDAS2 seqs in MiDAS3 and 22/22 MiDAS3 seq in MiDAS2	28365734
midas_g_1179	Ca_Defluviifilum	Genus support (>94.5% id) for 1/41 MiDAS2 seqs in MiDAS3 and 12/12 MiDAS3 seq in MiDAS2	28365734
midas_g_174	Ca_Defluviifilum	Genus support (>94.5% id) for 3/41 MiDAS2 seqs in MiDAS3 and 46/46 MiDAS3 seq in MiDAS2	28365734
midas_g_7763	Ca_Defluviifilum	Genus support (>94.5% id) for 11/41 MiDAS2 seqs in MiDAS3 and 4/4 MiDAS3 seq in MiDAS2	28365734
midas_g_16	Ca_Epiflobacter	Genus support (>94.5% id) for 70/82 MiDAS2 seqs in MiDAS3 and 184/184 MiDAS3 seq in MiDAS2	28365734
midas_g_1485	Ca_Obscuribacter	Genus support (>94.5% id) for 10/11 MiDAS2 seqs in MiDAS3 and 3/3 MiDAS3 seq in MiDAS2	28365734
midas_g_429	Ca_Sarcinithrix	Genus support (>94.5% id) for 11/13 MiDAS2 seqs in MiDAS3 and 27/27 MiDAS3 seq in MiDAS2	28365734
